"id","flujos","sucursal"
1,39.4882828227772,"NG"
2,41.2311545314107,"NG"
3,39.8404977773906,"G"
4,41.8713511395449,"G"
5,40.3964015456364,"NG"
6,41.2167993033048,"NG"
7,36.0051117477425,"NG"
8,36.1348407198811,"G"
9,43.1130223969769,"NG"
10,40.8611186596137,"G"
11,43.1660820970827,"NG"
12,38.9497637665879,"NG"
13,39.7613089130035,"G"
14,40.0359293008232,"G"
15,38.5241126225014,"G"
16,41.6118898190005,"NG"
17,37.6673475710369,"G"
18,39.8279083250607,"NG"
19,43.4142013446465,"NG"
20,38.1430986309006,"NG"
21,42.7363042013622,"NG"
22,37.986730896949,"G"
23,37.260750449501,"G"
24,42.0980100818072,"NG"
25,38.806029142756,"G"
26,41.2707646075837,"G"
27,41.9740532092084,"G"
28,39.7814256164909,"NG"
29,44.1058575396152,"G"
30,37.9706114413436,"G"
31,37.5658728525692,"NG"
32,39.9949441450923,"NG"
33,43.4289168326461,"NG"
34,39.7279757110246,"G"
35,41.1935539107634,"G"
36,38.0345510316735,"NG"
37,45.4275033334354,"NG"
38,36.4232205444757,"NG"
39,36.9316753156226,"NG"
40,43.7924249758353,"NG"
41,38.7754280342945,"G"
42,42.4578606111793,"G"
43,39.4937353727443,"G"
44,37.1327213907285,"G"
45,42.5695158642396,"NG"
46,40.2311492271841,"G"
47,39.9036446640991,"NG"
48,39.2280472420042,"G"
49,37.3389793926157,"NG"
50,40.3587624710653,"NG"
51,36.5241606915229,"NG"
52,39.5678951873477,"NG"
53,36.9712866279219,"NG"
54,38.0149323860647,"NG"
55,43.4793434040643,"G"
56,37.0048283973415,"G"
57,40.4463249946949,"G"
58,39.1058513369069,"G"
59,42.583154502923,"NG"
60,42.4352753593503,"NG"
61,35.9033669386801,"G"
62,37.3604371469826,"G"
63,43.8380427676111,"NG"
64,32.7559071908695,"NG"
65,39.9150466524285,"G"
66,38.1303996076492,"G"
67,41.300128069356,"NG"
68,40.6911312094654,"G"
69,41.9614538646716,"NG"
70,35.077192743089,"G"
71,40.7647096739862,"NG"
72,38.5747245237171,"NG"
73,38.5770923565058,"G"
74,40.9318001572249,"NG"
75,38.0381295511404,"NG"
76,38.8918792847276,"NG"
77,41.0610587326729,"G"
78,41.4160395951777,"NG"
79,44.33890434234,"NG"
80,38.3995527179085,"NG"
81,39.334003095654,"G"
82,39.0809199766355,"G"
83,36.5398277071017,"NG"
84,34.0822532645261,"NG"
85,39.6680904622159,"NG"
86,39.3960485611093,"G"
87,44.12574232476,"G"
88,43.1815801680936,"NG"
89,39.8666891007442,"G"
90,39.0207196106376,"G"
91,40.3810927925136,"G"
92,38.2678047800747,"NG"
93,43.754157447573,"NG"
94,40.2972460174111,"NG"
95,43.8626240986522,"G"
96,39.8189972736883,"G"
97,36.712520375424,"G"
98,37.2197424968647,"G"
99,39.034176617658,"NG"
100,40.2748162289633,"NG"
101,37.3337303613258,"G"
102,41.8076480229125,"G"
103,35.4477791917161,"G"
104,43.9639935638465,"NG"
105,39.2209325800132,"NG"
106,38.2570193029523,"NG"
107,37.3815386540467,"NG"
108,44.1929180788543,"G"
109,37.0715525793499,"NG"
110,41.8577910874009,"G"
111,39.0372487468536,"G"
112,41.1544832395359,"G"
113,35.5115441199531,"NG"
114,38.2263985503075,"G"
115,38.8419216595359,"G"
116,39.7108765865315,"NG"
117,38.4369858395734,"NG"
118,38.9196375277499,"NG"
119,42.7348389220286,"G"
120,38.9262925380701,"NG"
121,42.2394372089325,"NG"
122,40.8399537497413,"NG"
123,34.88547421322,"NG"
124,38.7401924843121,"G"
125,42.7926198777713,"NG"
126,40.0769637844608,"NG"
127,36.524392794025,"NG"
128,41.2491439210379,"G"
129,39.4600650632553,"NG"
130,38.7644289781124,"G"
131,39.1251177756679,"NG"
132,41.9830242934943,"G"
133,39.7371703454325,"NG"
134,41.7359965452589,"NG"
135,42.8223549833953,"G"
136,44.4609505151285,"G"
137,41.2014808437824,"G"
138,39.4123989659993,"G"
139,40.1382774549133,"NG"
140,43.3082979766455,"NG"
141,42.0626411141453,"NG"
142,41.8478513320107,"NG"
143,42.3525059485608,"NG"
144,42.5155621040997,"NG"
145,38.1780674759717,"NG"
146,43.2684692366336,"NG"
147,40.7021030036026,"G"
148,40.0570779088219,"NG"
149,38.2498793175114,"NG"
150,37.9847979029637,"NG"
151,40.0927173325403,"G"
152,41.9769677707985,"G"
153,38.8166583603495,"NG"
154,43.8582689330211,"NG"
155,40.2216100480879,"NG"
156,44.3973951371402,"NG"
157,41.9930131998116,"NG"
158,38.9790256182131,"NG"
159,40.8504468598153,"G"
160,42.665444448799,"NG"
161,41.4144463045962,"NG"
162,39.2057139201335,"G"
163,39.4167558291439,"G"
164,41.9643585133613,"NG"
165,39.560348047727,"G"
166,42.9793217775003,"G"
167,36.5895961646132,"NG"
168,37.3690143292093,"NG"
169,41.2635411441072,"G"
170,41.3876958739869,"G"
171,40.7704987930765,"G"
172,39.6500697583402,"NG"
173,37.7580235549293,"G"
174,41.002236966475,"G"
175,40.6223237342222,"NG"
176,40.0569952649243,"G"
177,38.4708717348301,"NG"
178,39.7216596860803,"NG"
179,41.952572543482,"G"
180,39.3361994605687,"NG"
181,39.0029552655833,"NG"
182,39.6498693079085,"G"
